Latitude,Longitude,Month,Year,Publication
50.337,-4.151,3,1913,Wilson1947
50.352,-5.163,10,1934,Wilson1947
50.575,4.918,11,1934,Wilson1947
50.54,-4.936,11,1934,Wilson1947
50.416,-507,11,1934,Wilson1947
50.595,-4.831,11,1934,Wilson1947
39.36666667,-70.75,10,1939,Woodcock1944
39.38333333,-72.46666667,8,1940,Woodcock1944
33.51666667,-73.13333333,4,1941,Woodcock1944
25.48333333,-72.4,4,1941,Woodcock1944
39,-46,6,1941,Woodcock1944
39,-46,7,1941,Woodcock1944
40.3,-67.35,8,1941,Woodcock1944
36.43333333,-64.13333333,8,1941,Woodcock1944
26.6,-80,3,1942,Woodcock1944
25.7,-80.1,3,1942,Woodcock1944
26.45,-84.41666667,3,1942,Woodcock1944
26.7,-84.78333333,3,1942,Woodcock1944
27,-85.16666667,3,1942,Woodcock1944
27.48333333,-86.58333333,4,1942,Woodcock1944
27.91666667,-89.53333333,4,1942,Woodcock1944
